code,preval_original,preval_restored
E78,0.722,0.666
I10,0.682,0.524
Z12,0.584,0.494
Z23,0.524,0.41
M25,0.554,0.572
Z01,0.492,0.446
R06,0.622,0.574
M54,0.488,0.476
Z00,0.422,0.356
M79,0.446,0.464
R07,0.472,0.408
R05,0.518,0.394
H25,0.424,0.412
R10,0.348,0.358
R53,0.414,0.358
Z79,0.438,0.394
K21,0.394,0.364
R94,0.34,0.294
J98,0.418,0.342
I25,0.39,0.376
E11,0.358,0.388
J84,0.548,0.534
J20,0.288,0.29
L82,0.272,0.276
N39,0.26,0.21
G47,0.356,0.334
R09,0.374,0.33
K57,0.26,0.206
M19,0.246,0.246
J44,0.39,0.308
D12,0.242,0.208
L57,0.3,0.262
J01,0.218,0.206
J06,0.204,0.19
Z51,0.27,0.24
R91,0.378,0.346
J30,0.234,0.222
D48,0.222,0.182
M51,0.224,0.228
J18,0.326,0.276
Z86,0.26,0.19
D64,0.24,0.224
R19,0.206,0.168
Z13,0.17,0.172
M47,0.262,0.246
I49,0.24,0.21
R00,0.23,0.2
E03,0.244,0.212
R42,0.166,0.166
M17,0.198,0.204
D23,0.17,0.174
E87,0.22,0.228
R93,0.23,0.22
L03,0.188,0.166
Z96,0.218,0.208
E66,0.202,0.216
E55,0.194,0.172
R60,0.222,0.206
Z87,0.25,0.206
K64,0.148,0.134
M89,0.172,0.138
H43,0.194,0.212
I51,0.24,0.194
Z85,0.19,0.182
M62,0.178,0.178
H26,0.184,0.188
H35,0.212,0.22
B35,0.174,0.142
R73,0.144,0.126
Z68,0.15,0.158
I50,0.236,0.23
H40,0.188,0.2
Z98,0.206,0.164
N40,0.158,0.152
R51,0.152,0.12
F41,0.174,0.156
L25,0.158,0.146
R11,0.16,0.148
K29,0.146,0.132
M81,0.154,0.142
I34,0.202,0.166
J45,0.216,0.214
J96,0.238,0.216
G89,0.142,0.164
R26,0.176,0.148
H90,0.138,0.124
N28,0.142,0.164
F32,0.206,0.172
R35,0.146,0.134
I65,0.152,0.148
N95,0.128,0.12
M75,0.134,0.154
H04,0.166,0.144
M48,0.172,0.154
J32,0.144,0.136
K59,0.136,0.12
I70,0.152,0.158
H52,0.17,0.158
J02,0.128,0.12
I48,0.204,0.184
J40,0.152,0.126
H61,0.124,0.108
M12,0.126,0.12
C44,0.144,0.15
R22,0.124,0.128
M99,0.138,0.136
R92,0.126,0.124
Z09,0.152,0.132
N18,0.162,0.164
K62,0.128,0.112
R78,0.124,0.09
I73,0.148,0.104
R20,0.09,0.074
R13,0.14,0.118
R55,0.12,0.16
L81,0.096,0.09
R31,0.128,0.136
R63,0.136,0.104
M50,0.096,0.076
I20,0.098,0.1
R50,0.106,0.088
M77,0.072,0.084
K44,0.136,0.096
I27,0.186,0.182
K76,0.12,0.108
H10,0.088,0.088
Z48,0.15,0.142
D50,0.122,0.108
J43,0.15,0.142
L98,0.114,0.104
I11,0.092,0.09
I67,0.12,0.096
J34,0.106,0.094
K92,0.092,0.06
R68,0.092,0.084
R41,0.12,0.082
L72,0.054,0.062
M20,0.086,0.082
M60,0.094,0.086
N17,0.12,0.1
L60,0.086,0.072
R21,0.086,0.076
M65,0.072,0.064
K63,0.11,0.1
I35,0.144,0.12
D72,0.116,0.104
R30,0.076,0.066
I95,0.134,0.126
Z78,0.078,0.076
R39,0.09,0.066
F17,0.09,0.07
S83,0.07,0.072
Z80,0.09,0.078
R59,0.144,0.126
J47,0.148,0.132
Z95,0.124,0.128
K22,0.11,0.094
E86,0.078,0.082
M15,0.092,0.092
M72,0.054,0.07
Z45,0.126,0.108
K52,0.086,0.058
D49,0.084,0.084
M16,0.08,0.08
H53,0.09,0.078
M70,0.082,0.076
H02,0.1,0.094
N63,0.068,0.064
N64,0.066,0.072
Z11,0.058,0.05
L90,0.08,0.074
J91,0.132,0.094
L85,0.07,0.068
Z47,0.07,0.064
G56,0.048,0.05
S43,0.07,0.052
E83,0.098,0.09
N20,0.056,0.072
R03,0.072,0.08
D22,0.054,0.052
B07,0.076,0.074
S09,0.08,0.068
B37,0.086,0.082
J31,0.094,0.078
S82,0.08,0.062
I36,0.112,0.112
A41,0.1,0.082
R97,0.07,0.092
K80,0.05,0.054
M43,0.074,0.054
E88,0.082,0.072
D18,0.048,0.042
N52,0.076,0.072
T14,0.076,0.074
I12,0.102,0.078
Z71,0.054,0.042
H01,0.076,0.07
Z99,0.094,0.082
Z46,0.108,0.082
R74,0.064,0.06
R29,0.066,0.06
R79,0.078,0.054
K31,0.054,0.04
G60,0.058,0.068
F43,0.064,0.066
J81,0.088,0.084
B02,0.048,0.054
M76,0.062,0.052
M10,0.084,0.074
M06,0.094,0.074
R01,0.058,0.062
N30,0.05,0.05
H93,0.048,0.046
L30,0.038,0.052
E10,0.08,0.078
S33,0.064,0.062
Z03,0.072,0.068
I87,0.08,0.074
E04,0.06,0.054
R40,0.066,0.066
N60,0.056,0.044
R04,0.098,0.084
I21,0.068,0.05
M46,0.062,0.06
M85,0.056,0.046
K20,0.06,0.052
I82,0.07,0.064
I63,0.08,0.062
I47,0.098,0.086
G93,0.046,0.054
D69,0.056,0.04
I42,0.072,0.07
E53,0.062,0.06
S93,0.052,0.056
F33,0.072,0.052
R69,0.054,0.054
S61,0.038,0.038
H16,0.052,0.058
I77,0.076,0.07
H92,0.046,0.05
M23,0.04,0.036
I44,0.06,0.05
H66,0.03,0.032
H11,0.058,0.058
I83,0.054,0.034
L29,0.048,0.04
S42,0.062,0.046
L21,0.062,0.056
D62,0.052,0.07
J15,0.09,0.08
N32,0.062,0.056
R14,0.056,0.058
H91,0.052,0.048
T78,0.036,0.052
H81,0.044,0.038
M53,0.046,0.046
R25,0.046,0.042
H69,0.042,0.048
R33,0.038,0.032
I71,0.062,0.058
L08,0.048,0.036
M21,0.048,0.048
R52,0.026,0.03
H60,0.04,0.034
Z20,0.036,0.04
M71,0.034,0.034
G25,0.046,0.042
N13,0.032,0.024
G43,0.036,0.04
B96,0.064,0.062
S99,0.036,0.034
G57,0.048,0.04
Z90,0.06,0.046
I45,0.06,0.044
M24,0.018,0.038
Z08,0.03,0.026
Z91,0.06,0.042
D63,0.058,0.044
T81,0.048,0.042
J90,0.04,0.036
K58,0.044,0.034
N36,0.034,0.03
N76,0.034,0.038
G31,0.038,0.034
R49,0.048,0.048
I26,0.062,0.052
L71,0.026,0.02
L97,0.052,0.042
M18,0.042,0.034
K56,0.042,0.03
D04,0.044,0.042
S13,0.046,0.044
C61,0.052,0.036
M35,0.058,0.048
H00,0.034,0.032
R45,0.034,0.036
I07,0.07,0.066
E07,0.05,0.042
H18,0.052,0.042
S01,0.046,0.05
B97,0.036,0.03
D68,0.072,0.06
K40,0.036,0.032
E29,0.06,0.056
Z88,0.05,0.034
H65,0.02,0.022
S22,0.042,0.036
K30,0.03,0.024
M67,0.02,0.016
E01,0.044,0.042
D13,0.028,0.026
D51,0.036,0.034
C50,0.028,0.042
R82,0.032,0.04
F34,0.048,0.042
S90,0.028,0.026
R27,0.036,0.034
J93,0.054,0.046
I08,0.034,0.03
H57,0.036,0.03
R32,0.03,0.022
S80,0.022,0.02
R23,0.018,0.024
M41,0.032,0.032
J10,0.03,0.026
R76,0.04,0.024
N41,0.028,0.032
J82,0.034,0.024
I69,0.038,0.038
L40,0.038,0.026
S39,0.022,0.028
I80,0.042,0.03
S20,0.03,0.024
J95,0.038,0.022
L20,0.03,0.024
E13,0.034,0.032
Z76,0.048,0.048
Z82,0.034,0.02
T82,0.046,0.05
R80,0.042,0.034
84.,0.0,0.0
D17,0.024,0.016
L84,0.028,0.024
M22,0.022,0.01
T50,0.03,0.024
G58,0.024,0.028
T07,0.026,0.022
R12,0.026,0.032
L50,0.036,0.036
G45,0.018,0.022
C34,0.034,0.04
S10,0.032,0.028
S60,0.03,0.024
J80,0.042,0.032
G62,0.028,0.024
Z74,0.03,0.024
N81,0.026,0.028
S70,0.034,0.034
J94,0.05,0.034
R87,0.026,0.018
S23,0.044,0.038
E05,0.032,0.018
L02,0.014,0.014
S29,0.02,0.016
S05,0.02,0.014
J38,0.05,0.036
I78,0.024,0.02
N19,0.036,0.026
S63,0.018,0.012
L89,0.044,0.042
M94,0.016,0.024
S32,0.03,0.028
R56,0.026,0.016
K43,0.026,0.016
F03,0.02,0.02
Z77,0.028,0.016
Z04,0.03,0.022
K82,0.02,0.014
E84,0.046,0.046
K81,0.018,0.024
K13,0.028,0.034
F51,0.02,0.026
J42,0.04,0.026
D25,0.014,0.012
J00,0.012,0.01
R16,0.016,0.014
T84,0.022,0.022
R47,0.03,0.024
H33,0.042,0.05
R65,0.028,0.018
B00,0.022,0.022
F06,0.024,0.016
Z94,0.048,0.042
J41,0.03,0.022
E16,0.03,0.022
S81,0.024,0.02
S69,0.02,0.016
D89,0.034,0.024
B95,0.028,0.026
G44,0.026,0.022
L66,0.014,0.014
Z92,0.02,0.018
F10,0.01,0.014
W19,0.01,0.006
D75,0.016,0.018
N50,0.018,0.016
K25,0.008,0.014
L28,0.02,0.016
Z02,0.014,0.018
K42,0.026,0.034
D53,0.026,0.018
S06,0.018,0.024
S31,0.024,0.022
H47,0.018,0.022
L91,0.016,0.02
J69,0.04,0.034
E46,0.024,0.032
M05,0.04,0.032
N42,0.024,0.028
K11,0.04,0.03
L56,0.024,0.024
I13,0.018,0.01
N89,0.02,0.026
Z83,0.024,0.02
I31,0.024,0.032
M80,0.02,0.018
M96,0.012,0.012
J04,0.02,0.012
F29,0.02,0.02
I99,0.024,0.02
K86,0.02,0.018
L73,0.018,0.018
D31,0.008,0.008
L53,0.022,0.02
Q76,0.032,0.02
C79,0.02,0.014
S49,0.026,0.02
M13,0.02,0.014
S59,0.022,0.02
D47,0.044,0.04
L70,0.012,0.012
Q61,0.02,0.024
D37,0.024,0.026
S40,0.026,0.02
S91,0.02,0.018
T85,0.024,0.014
D70,0.022,0.022
N83,0.008,0.008
E27,0.018,0.014
C80,0.016,0.012
I89,0.026,0.03
Z72,0.01,0.012
E92,0.01,0.006
G40,0.02,0.016
J39,0.04,0.032
M84,0.012,0.012
N94,0.018,0.016
T88,0.012,0.014
A04,0.012,0.014
H34,0.022,0.022
S79,0.014,0.012
I46,0.032,0.02
S30,0.016,0.012
R18,0.018,0.016
N25,0.026,0.022
C78,0.024,0.02
E89,0.024,0.014
I24,0.016,0.01
S02,0.016,0.02
Z41,0.016,0.014
K55,0.012,0.006
G97,0.014,0.01
S00,0.012,0.008
J11,0.02,0.012
M26,0.006,0.016
L65,0.022,0.02
I37,0.026,0.022
M32,0.032,0.022
D21,0.014,0.018
E08,0.022,0.024
N23,0.004,0.004
E21,0.018,0.022
K85,0.018,0.012
T86,0.034,0.03
S50,0.016,0.012
A09,0.018,0.006
I05,0.03,0.022
D61,0.016,0.01
K12,0.01,0.006
K75,0.016,0.014
K83,0.01,0.014
Z53,0.012,0.01
N85,0.014,0.012
G30,0.014,0.012
E06,0.01,0.008
M66,0.014,0.014
I97,0.008,0.004
C77,0.018,0.016
R61,0.016,0.016
S76,0.01,0.01
I74,0.014,0.012
T15,0.012,0.006
S92,0.012,0.006
H83,0.006,0.002
D36,0.014,0.012
